"[218.3, -50.5, -6.2, -179.65, -2.27, 1.22]"
"[193.0, -6.5, -7.6, -179.38, -1.09, 0.0]"
"[202.1, -68.4, -6.7, -179.73, -1.31, -1.4]"
"[203.7, -12.1, -11.7, -179.28, -1.45, 0.78]"
"[210.0, -33.2, -8.6, -179.37, -1.67, -0.97]"
"[236.6, -7.2, -6.0, -179.43, -0.86, 0.52]"
"[216.3, -35.6, -10.5, -179.32, -2.2, -0.97]"
"[202.5, -24.0, -8.7, -179.12, -2.96, 1.3]"
"[231.9, -27.0, -9.6, -179.37, -2.03, -0.88]"
"[224.6, -38.6, -7.2, -179.25, -3.44, -1.59]"
"[232.9, -6.8, -6.6, -179.28, -2.08, -0.27]"
"[199.6, -52.9, -6.8, -179.7, -2.27, 0.08]"
"[253.7, -2.0, -3.0, -179.65, -2.53, 0.51]"
"[233.4, -31.2, -5.9, -179.64, -2.25, -0.97]"
"[230.5, -58.6, -5.2, -179.69, -2.1, 0.08]"
"[218.7, 0.1, -9.0, -178.46, -2.31, 1.57]"
"[253.9, -8.6, -9.1, -179.39, -2.29, -0.09]"
"[211.7, -6.7, -11.0, -179.37, -2.1, 1.22]"
"[213.1, -6.0, -12.4, -179.14, -1.13, 0.52]"
"[211.7, -48.5, -8.0, 179.42, -2.77, -0.35]"
"[211.7, -37.3, -10.4, 179.66, -2.77, 1.39]"
"[217.0, -73.8, -6.5, 179.91, -1.93, -0.26]"
"[241.7, -74.4, -7.3, -179.93, -2.46, -0.17]"
"[228.0, -54.2, -5.2, -179.81, -3.16, 2.1]"
"[261.6, -19.6, -4.4, -179.72, -0.67, 1.58]"
"[244.4, -29.1, -5.9, -179.46, -2.49, 0.0]"
"[253.1, -55.1, -5.0, -179.77, -1.22, -0.35]"
"[211.9, 6.6, -6.9, -179.37, -1.37, 1.48]"
"[241.3, -5.4, -8.3, -179.28, -1.99, -0.97]"
"[182.5, -13.9, -10.8, -179.72, -0.01, 0.08]"
"[213.2, -38.3, -7.4, -179.56, -1.18, -1.4]"
"[209.0, -63.8, -6.7, -179.71, -1.57, -0.96]"
"[182.0, -31.9, -6.2, -179.43, -1.86, 0.87]"
"[232.3, -23.1, -6.0, -179.64, -0.56, 0.87]"
"[212.0, -3.6, -9.3, -179.17, -1.95, 0.51]"
"[233.1, 7.9, -6.6, -179.19, -1.68, 0.34]"
"[199.4, -45.9, -6.3, -179.61, -1.1, -1.4]"
"[254.2, -29.6, -6.9, -179.6, -1.01, 0.43]"
"[232.6, -70.3, -7.4, -179.76, -2.37, -1.14]"
"[224.5, -70.1, 25.6, -179.74, -0.53, -1.14]"
"[234.1, -48.9, -11.3, -179.64, -1.47, 0.08]"
"[232.2, -22.7, -5.8, -179.25, -2.63, -0.09]"
"[232.2, -20.0, -5.9, -179.34, -2.74, 0.95]"
"[222.7, -56.3, -7.1, -179.61, -2.53, -0.96]"
"[185.3, -24.5, -9.7, -179.43, -1.5, 1.22]"
"[230.2, -52.3, -7.5, -179.64, -1.47, -0.79]"
"[228.3, -39.2, -9.3, -179.49, -2.86, 1.31]"
"[235.7, -23.2, -9.8, -179.39, -1.94, -0.09]"
"[225.0, -75.6, -9.4, -179.71, -2.03, -1.22]"
"[261.4, -37.6, -10.5, -179.46, -1.8, 0.0]"
"[181.0, -10.0, -10.1, -179.82, 0.32, 0.96]"
"[261.3, -35.3, -4.8, -179.57, -1.0, -2.63]"
"[179.4, -11.8, -9.9, -179.59, -0.42, 0.08]"
"[204.4, -22.5, -8.5, -179.56, -0.71, -1.4]"
"[215.7, -42.8, -6.1, -179.64, -0.84, -0.79]"
"[237.5, -12.7, -6.0, -179.35, -1.39, 0.52]"
"[181.4, -55.6, -8.7, -179.59, -1.47, 0.17]"
"[231.8, -30.4, -5.7, -179.59, -0.39, 0.7]"
"[176.5, -31.8, -10.5, -179.63, -0.02, 0.17]"
"[190.7, -23.4, -12.4, -179.1, -2.24, 0.78]"
"[244.6, -5.9, -6.1, -179.01, -2.29, 0.34]"
"[193.2, -6.6, -8.3, -179.4, -0.46, 0.79]"
"[188.8, -62.7, -9.4, -179.52, -1.83, -0.96]"
"[229.2, -55.7, -6.4, -179.58, -2.98, 0.61]"
"[203.4, -63.8, -11.0, -179.71, -1.48, -1.14]"
"[244.0, -56.1, -6.1, -179.78, -2.36, 0.7]"
"[258.4, -21.3, -8.4, -179.6, -1.98, 0.52]"
"[189.9, -24.0, -9.6, -179.83, -0.77, 0.08]"
"[218.6, -35.9, -6.9, -179.88, -0.87, -0.35]"
"[206.6, -37.4, -11.4, -179.8, -1.48, -0.35]"
"[248.8, -32.0, -5.5, -179.71, -2.09, -0.35]"
